match_url,home_team,away_team,home_players,away_players,result,goal_scorers_home,goal_scorers_away
https://footballia.eu/matches/fc-barcelona-cf-atlante,FC Barcelona,CF Atlante,"['Víctor Valdés', 'Daniel Alves', 'Márquez', 'Puyol', 'Xavi', 'Iniesta', 'Ibrahimović', 'Busquets', 'Pedro', 'Abidal', 'Touré', 'Guardiola', 'Piqué', 'Messi', 'Bojan']","['Vilar', 'Martínez', 'González', 'Navarro', 'Márquez', 'Solari', 'Guerrero', 'Bermúdez', 'Rojas', 'Velázquez', 'Arreola', 'Cruz', 'Pereyra', 'Carević']",3 : 1,"['Sergio Busquets Burgos', 'Lionel (Leo) Andrés Messi', 'Pedro Rodríguez Ledesma']",['Guillermo Rojas Rumilla']
https://footballia.eu/matches/estudiantes-de-la-plata-fc-barcelona,Estudiantes de La Plata,FC Barcelona,"['Albil', 'Desábato', 'Cellay', 'E. Pérez', 'Verón', 'Díaz', 'Re', 'Boselli', 'Braña', 'Benítez', 'C. Rodríguez', 'Sabella', 'M. Sánchez', 'M. Núñez', 'Rojo']","['Víctor Valdés', 'Daniel Alves', 'Piqué', 'Puyol', 'Xavi', 'Ibrahimović', 'Messi', 'Henry', 'Keita', 'Busquets', 'Abidal', 'Guardiola', 'Jeffrén', 'Pedro', 'Touré']",1 : 2,['Mauro Boselli'],"['Pedro Rodríguez Ledesma', 'Lionel (Leo) Andrés Messi']"
https://footballia.eu/matches/fc-barcelona-villarreal-cf-liga-1-division-2009-2010,FC Barcelona,Villarreal CF,"['Víctor Valdés', 'Daniel Alves', 'Piqué', 'Puyol', 'Xavi', 'Ibrahimović', 'Henry', 'Busquets', 'Pedro', 'Abidal', 'J. dos Santos', 'Guardiola', 'Iniesta', 'Bojan']","['Diego López', 'Godín', 'Capdevila', 'Cazorla', 'Cani', 'Nilmar', 'D. Fuster', 'Javi Venta', 'M. Senna', 'Marcano', 'Bruno', 'Valverde', 'Eguren', 'Rossi', 'Escudero']",1 : 1,['Pedro Rodríguez Ledesma'],['David Fuster Torrijos']
https://footballia.eu/matches/fc-barcelona-sevilla-fc-copa-del-rey-2009-2010,FC Barcelona,Sevilla FC,"['Pinto', 'Daniel Alves', 'Márquez', 'Iniesta', 'Messi', 'Bojan', 'Pedro', 'Milito', 'Maxwell', 'Chygrynskyi', 'Thiago', 'Guardiola', 'Xavi', 'Ibrahimović', 'Busquets']","['Palop', 'Dragutinović', 'J. Navas', 'Koné', 'Escudé', 'D. Capel', 'F. Navarro', 'Romaric', 'Lolo', 'Konko', 'Perotti', 'Jiménez', 'Duscher', 'Renato', 'Negredo']",1 : 2,['Zlatan Ibrahimović'],"['Diego Capel Trinidad', 'Álvaro Negredo Sánchez']"
https://footballia.eu/matches/cd-tenerife-fc-barcelona,CD Tenerife,FC Barcelona,"['Aragoneses', 'Bellvís', 'P. Sicilia', 'Nino', 'Ricardo', 'Ayoze', 'Kome', 'Juanlu', 'Luna', 'Alfaro', 'Mikel Alonso', 'Oltra', 'Ángel', 'Dinei', 'Culebras']","['Víctor Valdés', 'Daniel Alves', 'Márquez', 'Puyol', 'Xavi', 'Iniesta', 'Messi', 'Bojan', 'Henry', 'Busquets', 'Maxwell', 'Guardiola', 'Pedro', 'Milito', 'Chygrynskyi']",0 : 5,[],"['Lionel (Leo) Andrés Messi', 'Carles Puyol Saforcada', 'Lionel (Leo) Andrés Messi', 'Lionel (Leo) Andrés Messi', 'Ezequiel Esteban Luna']"
https://footballia.eu/matches/sevilla-fc-fc-barcelona-copa-del-rey,Sevilla FC,FC Barcelona,"['Palop', 'Dragutinović', 'Duscher', 'Adriano', 'J. Navas', 'Renato', 'Escudé', 'F. Navarro', 'Negredo', 'Romaric', 'Konko', 'Jiménez', 'D. Capel', 'Lolo', 'Cala']","['Pinto', 'Daniel Alves', 'Piqué', 'Puyol', 'Xavi', 'Iniesta', 'Ibrahimović', 'Messi', 'Henry', 'Busquets', 'Abidal', 'Guardiola', 'Bojan', 'Pedro']",0 : 1,[],['Xavier Hernández Creus']
https://footballia.eu/matches/fc-barcelona-sevilla-fc-liga-1-division-2009-2010,FC Barcelona,Sevilla FC,"['Víctor Valdés', 'Daniel Alves', 'Piqué', 'Puyol', 'Xavi', 'Iniesta', 'Ibrahimović', 'Messi', 'Henry', 'Busquets', 'Abidal', 'Guardiola', 'Márquez', 'Bojan', 'Pedro']","['Palop', 'Dragutinović', 'J. Navas', 'Koné', 'Escudé', 'Stankevičius', 'F. Navarro', 'Lolo', 'Konko', 'José Carlos', 'M. Valiente', 'Jiménez', 'Duscher', 'Adriano', 'D. Capel']",4 : 0,"['Julien Escudé', 'Pedro Rodríguez Ledesma', 'Lionel (Leo) Andrés Messi', 'Lionel (Leo) Andrés Messi']",[]
https://footballia.eu/matches/real-valladolid-fc-barcelona-liga-1-division-2009-2010,Real Valladolid,FC Barcelona,"['Villar', 'Marcos', 'Borja', 'Pedro López', 'Luis Prieto', 'J. Sesma', 'Canobbio', 'Diego Costa', 'Marquitos', 'Arzo', 'C. Lázaro', 'Mendilibar', 'Nivaldo', 'Pelé', 'Medunjanin']","['Víctor Valdés', 'Daniel Alves', 'Piqué', 'Puyol', 'Xavi', 'Iniesta', 'Ibrahimović', 'Messi', 'Henry', 'Keita', 'Abidal', 'Guardiola', 'Bojan', 'Milito', 'Chygrynskyi']",0 : 3,[],"['Xavier Hernández Creus', 'Daniel Alves da Silva', 'Lionel (Leo) Andrés Messi']"
https://footballia.eu/matches/sporting-de-gijon-fc-barcelona-liga-1-division-2009-2010,Sporting de Gijón,FC Barcelona,"['Juan Pablo', 'Botía', 'Rivera', 'Carmelo', 'Bilić', 'Lora', 'Arnolin', 'Canella', 'Luis Morán', 'De las Cuevas', 'C. Portilla', 'Preciado', 'Diego Castro', 'Barral', 'Matabuena']","['Víctor Valdés', 'Piqué', 'Márquez', 'Puyol', 'Xavi', 'Iniesta', 'Ibrahimović', 'Messi', 'Busquets', 'Pedro', 'Abidal', 'Guardiola', 'Bojan']",0 : 1,[],['Pedro Rodríguez Ledesma']
https://footballia.eu/matches/fc-barcelona-getafe-cf-liga-1-division-2009-2010,FC Barcelona,Getafe CF,"['Víctor Valdés', 'Piqué', 'Xavi', 'Iniesta', 'Ibrahimović', 'Messi', 'Keita', 'Milito', 'Maxwell', 'Abidal', 'Touré', 'Guardiola', 'Márquez', 'Busquets', 'Pedro']","['Codina', 'Díaz', 'Mané', 'Soldado', 'Albín', 'Rafa', 'Pedro Ríos', 'Parejo', 'Boateng', 'Fedor', 'M. Torres', 'Míchel', 'Kepa', 'M. del Moral', 'Casquero']",2 : 1,"['Lionel (Leo) Andrés Messi', 'Xavier Hernández Creus']",['Roberto Soldado Rillo']
