Source,Target,Weight,Type
Bojan,Villa,29,Undirected
J. Salinas,Serna,29,Undirected
Amor,Witschge,29,Undirected
A. Sánchez,Abidal,29,Undirected
De Jong,Pjanić,29,Undirected
Bojan,Pinto,29,Undirected
Aleix Vidal,Luis Enrique,29,Undirected
Eto'o,Thuram,29,Undirected
Bravo,Munir,29,Undirected
Rivaldo,Roger,29,Undirected
Pinto,Villa,28,Undirected
Neymar,Víctor Valdés,28,Undirected
N. Semedo,Paulinho,28,Undirected
Araújo,Lewandowski,28,Undirected
G. dos Santos,Xavi,28,Undirected
Rafinha,Xavi,28,Undirected
Reina,Rivaldo,28,Undirected
Goikoetxea,Romário,28,Undirected
Aleix Vidal,Mascherano,28,Undirected
Dest,Riqui Puig,28,Undirected
Song,Villa,28,Undirected
Araújo,Koundé,28,Undirected
Braithwaite,Piqué,28,Undirected
Bartra,Tello,28,Undirected
Aleix Vidal,Arda,28,Undirected
Guardiola,Sylvinho,28,Undirected
Maxwell,Milito,28,Undirected
Afellay,Villa,28,Undirected
Keita,Milito,28,Undirected
Ferrer,Robson,28,Undirected
Blanc,Popescu,28,Undirected
Martino,S. Roberto,28,Undirected
Gerard,Iniesta,28,Undirected
Kluivert,Serra Ferrer,28,Undirected
Reiziger,Ćirić,28,Undirected
Griezmann,Pjanić,28,Undirected
A. Gomes,Aleix Vidal,28,Undirected
Munir,Ter Stegen,28,Undirected
Busquets,Pjanić,28,Undirected
Tello,Vilanova,28,Undirected
Hleb,Keita,28,Undirected
Bojan,Hleb,28,Undirected
Gabri,Van Bronckhorst,28,Undirected
Digne,Luis Enrique,28,Undirected
Serna,Stoichkov,28,Undirected
Amor,Van Gaal,28,Undirected
Bravo,Rafinha,28,Undirected
Jeffrén,Messi,28,Undirected
Messi,Motta,28,Undirected
Jeffrén,Piqué,28,Undirected
Arthur,Griezmann,28,Undirected
Ansu Fati,Vidal,28,Undirected
Giuly,Van Bommel,28,Undirected
Eto'o,Hleb,28,Undirected
Cillessen,Piqué,28,Undirected
Cuenca,Messi,28,Undirected
Iván Iglesias,Zubizarreta,28,Undirected
Aubameyang,Jordi Alba,28,Undirected
Cillessen,D. Suárez,28,Undirected
Guardiola,J. Salinas,28,Undirected
Aleñá,Vidal,28,Undirected
Alcácer,Luis Enrique,28,Undirected
Jordi Alba,Pjanić,28,Undirected
Cruijff,Popescu,28,Undirected
D. Suárez,Neymar,28,Undirected
Geovanni,Puyol,28,Undirected
Guardiola,Simão,28,Undirected
Jordi Alba,Martino,27,Undirected
Touré,Zambrotta,27,Undirected
Aubameyang,Dembélé,27,Undirected
R. de Boer,Sergi,27,Undirected
Bonano,Rexach,27,Undirected
Koundé,M. Alonso,27,Undirected
Anderson,Ćirić,27,Undirected
Cruijff,Kodro,27,Undirected
Luis García,Van Bronckhorst,27,Undirected
Alcácer,Digne,27,Undirected
Daniel Alves,Montoya,27,Undirected
A. Gomes,Paulinho,27,Undirected
Bogarde,Luis Enrique,27,Undirected
Maxwell,Thiago,27,Undirected
Luis García,Víctor Valdés,27,Undirected
Koundé,Pedri,27,Undirected
Koeman,Serna,27,Undirected
Hleb,Víctor Valdés,27,Undirected
Luis García,Saviola,27,Undirected
Geovanni,Kluivert,27,Undirected
Ansu Fati,N. Semedo,27,Undirected
Lenglet,Pjanić,27,Undirected
F. de Boer,Geovanni,27,Undirected
Ferran,Piqué,27,Undirected
Luis García,Ronaldinho,27,Undirected
Martino,Pinto,27,Undirected
Milito,Pedro,27,Undirected
Nico,Èric García,27,Undirected
Larsson,Sylvinho,27,Undirected
Montoya,Thiago,27,Undirected
Luis García,Puyol,27,Undirected
Gabri,Mendieta,27,Undirected
Afellay,Piqué,27,Undirected
Geovanni,Saviola,27,Undirected
Afellay,Xavi,27,Undirected
Anderson,Cocu,27,Undirected
Rexach,Rivaldo,27,Undirected
Rakitić,Sandro,27,Undirected
Afellay,Iniesta,27,Undirected
Busquets,Popescu,27,Undirected
Daniel Alves,Jeffrén,27,Undirected
Jordi Alba,Montoya,27,Undirected
Deco,Van Bommel,27,Undirected
Alcácer,Mascherano,27,Undirected
Simão,Zenden,27,Undirected
Alexanko,Zubizarreta,26,Undirected
Koundé,Èric García,26,Undirected
Overmars,Rijkaard,26,Undirected
Gerard,Sergi,26,Undirected
Hleb,Touré,26,Undirected
Bojan,Mascherano,26,Undirected
Bartra,Munir,26,Undirected
Hleb,Piqué,26,Undirected
Aleñá,Coutinho,26,Undirected
Koundé,S. Roberto,26,Undirected
Christensen,Ferran,26,Undirected
Mendieta,Motta,26,Undirected
Jordi Alba,Kessié,26,Undirected
Digne,Valverde,26,Undirected
Blanc,De la Peña,26,Undirected
Milito,Márquez,26,Undirected
Bogarde,Sergi,26,Undirected
Pinto,S. Roberto,26,Undirected
De Jong,De Jong,26,Undirected
Bartra,Rafinha,26,Undirected
Reiziger,Van Bronckhorst,26,Undirected
Overmars,Víctor Valdés,26,Undirected
Gerard,Márquez,26,Undirected
Giovanni,Stoichkov,26,Undirected
Dest,Pjanić,26,Undirected
Thiago,Vilanova,26,Undirected
Jeffrén,Xavi,26,Undirected
Pjanić,Trincão,26,Undirected
Ibrahimović,Touré,26,Undirected
Cruijff,Jordi Cruijff,26,Undirected
Busquets,Cuenca,26,Undirected
Hleb,Puyol,26,Undirected
Dembélé,Nico,26,Undirected
Ansu Fati,Rakitić,26,Undirected
Dani,Luis Enrique,26,Undirected
Reina,Sergi,26,Undirected
Motta,Sylvinho,26,Undirected
Busquets,Guðjohnsen,26,Undirected
Belletti,Van Bommel,26,Undirected
Bonano,Motta,26,Undirected
Bogarde,Cocu,26,Undirected
R. de Boer,Zenden,26,Undirected
Christanval,Cocu,26,Undirected
Bonano,Rochemback,26,Undirected
Simão,Van Gaal,26,Undirected
Jeffrén,Víctor Valdés,26,Undirected
Ezquerro,Iniesta,26,Undirected
Alexanko,Cruijff,26,Undirected
Luis Enrique,Ćirić,26,Undirected
De la Peña,Rivaldo,26,Undirected
Alexanko,Laudrup,25,Undirected
Ferrer,Nando,25,Undirected
Dembélé,M. Alonso,25,Undirected
Van Bronckhorst,Zambrotta,25,Undirected
Gerard,Oleguer,25,Undirected
Giovanni,Ćirić,25,Undirected
Eusebio,Sergi,25,Undirected
Bojan,Zambrotta,25,Undirected
Mendieta,Riquelme,25,Undirected
F. de Boer,Riquelme,25,Undirected
Popescu,Òscar,25,Undirected
Luis Enrique,R. de Boer,25,Undirected
Busquets,Neto,25,Undirected
Larsson,Van Bommel,25,Undirected
De la Peña,Reiziger,25,Undirected
Henry,Hleb,25,Undirected
F. Couto,Popescu,25,Undirected
Busquets,J. dos Santos,25,Undirected
Gavi,Mingueza,25,Undirected
Christensen,S. Roberto,25,Undirected
Cillessen,N. Semedo,25,Undirected
Luis Enrique,Serra Ferrer,25,Undirected
Bartra,Bravo,25,Undirected
Litmanen,Van Gaal,25,Undirected
Luis Enrique,Simão,25,Undirected
Dani,Figo,25,Undirected
Dest,Xavi,25,Undirected
Puyol,Simão,25,Undirected
Christanval,Xavi,25,Undirected
Christanval,Puyol,25,Undirected
Aleix Vidal,Digne,25,Undirected
Coutinho,Dest,25,Undirected
Arthur,Umtiti,25,Undirected
Dembélé,Pjanić,25,Undirected
Oleguer,Thuram,25,Undirected
Braithwaite,Pjanić,25,Undirected
Afellay,Víctor Valdés,25,Undirected
Dembélé,Koundé,25,Undirected
Jordi Alba,Junior,25,Undirected
Busquets,Milito,25,Undirected
Luis Enrique,Rijkaard,25,Undirected
Cuenca,Thiago,25,Undirected
Busquets,Malcom,25,Undirected
Digne,Jordi Alba,25,Undirected
Alcácer,Aleix Vidal,25,Undirected
Cuenca,Daniel Alves,25,Undirected
Van Bommel,Van Bronckhorst,25,Undirected
Ezquerro,Xavi,25,Undirected
Ezquerro,Giuly,25,Undirected
Busquets,De la Peña,25,Undirected
Abelardo,Bogarde,25,Undirected
Anderson,Nadal,25,Undirected
Amor,Hesp,25,Undirected
Amor,Rivaldo,25,Undirected
Dest,Èric García,25,Undirected
Anderson,Guardiola,25,Undirected
Anderson,Roger,25,Undirected
Guðjohnsen,Piqué,25,Undirected
Cruijff,Soler,25,Undirected
Cuenca,Iniesta,25,Undirected
Sylvinho,Zambrotta,25,Undirected
Overmars,Rexach,25,Undirected
Edmílson,Motta,25,Undirected
Overmars,Rochemback,25,Undirected
Ibrahimović,Maxwell,25,Undirected
Abidal,Zambrotta,24,Undirected
Christensen,Koundé,24,Undirected
Alexanko,Bakero,24,Undirected
Soler,Zubizarreta,24,Undirected
Daniel Alves,Sandro,24,Undirected
Cocu,Giovanni,24,Undirected
Reina,Xavi,24,Undirected
Bojan,Ibrahimović,24,Undirected
Aleñá,Dembélé,24,Undirected
De Jong,Neto,24,Undirected
Geovanni,Xavi,24,Undirected
Christanval,F. de Boer,24,Undirected
Figo,Kodro,24,Undirected
Christanval,Saviola,24,Undirected
A. Gomes,Arda,24,Undirected
Christanval,Rexach,24,Undirected
Cocu,Geovanni,24,Undirected
Rexach,Rochemback,24,Undirected
Jorquera,Rijkaard,24,Undirected
Motta,Rochemback,24,Undirected
Pedri,Riqui Puig,24,Undirected
Pjanić,Ter Stegen,24,Undirected
Cocu,Pellegrino,24,Undirected
Abelardo,Ronaldo,24,Undirected
Araújo,Aubameyang,24,Undirected
Aubameyang,Ferran,24,Undirected
G. dos Santos,Víctor Valdés,24,Undirected
Quaresma,Rijkaard,24,Undirected
Adriano,Rafinha,24,Undirected
Gavi,Lenglet,24,Undirected
Riquelme,Saviola,24,Undirected
Milito,Piqué,24,Undirected
Alexanko,Eusebio,24,Undirected
N. Semedo,Vermaelen,24,Undirected
Gabri,Zenden,24,Undirected
Bonano,Reiziger,24,Undirected
Ansu Fati,Depay,24,Undirected
Cuenca,Mascherano,24,Undirected
Cocu,Mendieta,24,Undirected
Christensen,Dembélé,24,Undirected
Cuenca,Puyol,24,Undirected
Cuenca,Víctor Valdés,24,Undirected
Guardiola,J. dos Santos,24,Undirected
G. dos Santos,Iniesta,24,Undirected
Eusebio,Iván Iglesias,24,Undirected
Guðjohnsen,Van Bronckhorst,24,Undirected
Márquez,Van Bommel,24,Undirected
Gabri,Reina,24,Undirected
Cáceres,Guardiola,24,Undirected
Arthur,De Jong,24,Undirected
A. Gomes,Rafinha,24,Undirected
Luis Enrique,Reina,24,Undirected
A. Sánchez,Keita,24,Undirected
Iniesta,Vermaelen,24,Undirected
Coutinho,Koeman,24,Undirected
Messi,Pjanić,24,Undirected
Adriano,Mathieu,24,Undirected
Pellegrino,Van Gaal,24,Undirected
Alfonso,Sergi,24,Undirected
Kluivert,Riquelme,24,Undirected
Gerard,Serra Ferrer,24,Undirected
Bogarde,Guardiola,24,Undirected
Ferrer,Vítor Baía,24,Undirected
Anderson,Ferrer,24,Undirected
Abelardo,F. Couto,24,Undirected
Reiziger,Roger,24,Undirected
Ezquerro,Oleguer,24,Undirected
Laudrup,Romário,24,Undirected
Cillessen,Suárez,24,Undirected
Reiziger,Serra Ferrer,24,Undirected
Hleb,Messi,24,Undirected
Alfonso,F. de Boer,24,Undirected
Messi,Setién,24,Undirected
Abidal,G. dos Santos,24,Undirected
Ferrer,Serna,23,Undirected
J. Salinas,Soler,23,Undirected
Nadal,Reiziger,23,Undirected
Hleb,Márquez,23,Undirected
F. Couto,Òscar,23,Undirected
Digne,Neymar,23,Undirected
Anderson,Zenden,23,Undirected
Goikoetxea,Iván Iglesias,23,Undirected
Alcácer,Neymar,23,Undirected
S. Roberto,Song,23,Undirected
Aleix Vidal,Paulinho,23,Undirected
Montoya,Vilanova,23,Undirected
Gabri,Geovanni,23,Undirected
Bakero,Kodro,23,Undirected
Abidal,Ibrahimović,23,Undirected
Maxwell,Pinto,23,Undirected
Maxwell,Touré,23,Undirected
Alfonso,Cocu,23,Undirected
R. de Boer,Reiziger,23,Undirected
Henry,Zambrotta,23,Undirected
Dani,Zenden,23,Undirected
Gabri,Simão,23,Undirected
Sergi,Zubizarreta,23,Undirected
Kodro,Popescu,23,Undirected
Kodro,Sergi,23,Undirected
Busquets,Sandro,23,Undirected
Bojan,G. dos Santos,23,Undirected
Alexanko,Goikoetxea,23,Undirected
Montoya,Neymar,23,Undirected
Puyol,Riquelme,23,Undirected
Griezmann,Setién,23,Undirected
Bakero,De la Peña,23,Undirected
Daniel Alves,De Jong,23,Undirected
G. dos Santos,Puyol,23,Undirected
Busquets,Jordi Cruijff,23,Undirected
Arda,Mathieu,23,Undirected
Overmars,Serra Ferrer,23,Undirected
Jeffrén,Maxwell,23,Undirected
Quaresma,Xavi,23,Undirected
Henry,Ibrahimović,23,Undirected
Setién,Ter Stegen,23,Undirected
Rakitić,Setién,23,Undirected
Guðjohnsen,Motta,23,Undirected
Hleb,Iniesta,23,Undirected
Luis García,Reiziger,23,Undirected
Figo,Pellegrino,23,Undirected
Bogarde,F. de Boer,23,Undirected
Ferrer,Reiziger,23,Undirected
M. Alonso,Pedri,23,Undirected
Jordi Alba,Koundé,23,Undirected
Ferrer,Ronaldo,23,Undirected
Christensen,Pedri,23,Undirected
Riqui Puig,S. Roberto,23,Undirected
Kluivert,Pellegrino,23,Undirected
Edmílson,Van Bommel,23,Undirected
Guardiola,Nando,22,Undirected
Luis Enrique,Vermaelen,22,Undirected
Overmars,Reina,22,Undirected
Jordi Alba,Malcom,22,Undirected
J. Salinas,Witschge,22,Undirected
Guardiola,Hagi,22,Undirected
Hagi,Sergi,22,Undirected
Christensen,M. Alonso,22,Undirected
Neymar,Sandro,22,Undirected
Begiristain,Busquets,22,Undirected
Ezquerro,Víctor Valdés,22,Undirected
Cuenca,Fàbregas,22,Undirected
Busquets,Kodro,22,Undirected
Aleñá,Cillessen,22,Undirected
Arnau,Cocu,22,Undirected
Depay,Mingueza,22,Undirected
Pellegrino,Rivaldo,22,Undirected
Arnau,Van Gaal,22,Undirected
Pellegrino,Sergi,22,Undirected
S. Roberto,Tello,22,Undirected
Puyol,Zenden,22,Undirected
F. Couto,Stoichkov,22,Undirected
Alexanko,Begiristain,22,Undirected
Overmars,Ronaldinho,22,Undirected
Cocu,Quaresma,22,Undirected
Busquets,Òscar,22,Undirected
Blanc,Nadal,22,Undirected
Bakero,Hagi,22,Undirected
F. Couto,Van Gaal,22,Undirected
G. dos Santos,Henry,22,Undirected
Ferrer,Ćirić,22,Undirected
Busquets,Setién,22,Undirected
J. dos Santos,Pedro,22,Undirected
Bartra,Mathieu,22,Undirected
Riquelme,Xavi,22,Undirected
Mascherano,Sandro,22,Undirected
Griezmann,Neto,22,Undirected
Kodro,Roger,22,Undirected
Kodro,Nadal,22,Undirected
Aubameyang,Èric García,22,Undirected
Gabri,Márquez,22,Undirected
Malcom,N. Semedo,22,Undirected
F. Couto,Roger,22,Undirected
Cruijff,Òscar,22,Undirected
Christensen,Jordi Alba,22,Undirected
Hesp,Pellegrino,22,Undirected
Quaresma,Víctor Valdés,22,Undirected
Aleix Vidal,Neymar,22,Undirected
Malcom,Rakitić,22,Undirected
Anderson,Kluivert,22,Undirected
Cillessen,Umtiti,22,Undirected
Bartra,Ter Stegen,22,Undirected
Adriano,Bravo,22,Undirected
Figo,Puyol,22,Undirected
Junior,Piqué,22,Undirected
Jordi Alba,Thiago,22,Undirected
Luis Enrique,Rochemback,22,Undirected
Coco,Rexach,22,Undirected
Guardiola,Tello,22,Undirected
Montoya,Puyol,22,Undirected
Gabri,Riquelme,22,Undirected
Serra Ferrer,Simão,22,Undirected
Pizzi,Òscar,22,Undirected
Riqui Puig,Trincão,22,Undirected
G. dos Santos,Touré,22,Undirected
Setién,Vidal,22,Undirected
N. Semedo,Setién,22,Undirected
Abelardo,Serra Ferrer,22,Undirected
Popescu,Stoichkov,22,Undirected
Bogarde,Kluivert,22,Undirected
Amor,Blanc,22,Undirected
Jordi Alba,Setién,22,Undirected
Piqué,Setién,22,Undirected
Cuenca,Pedro,22,Undirected
Malcom,S. Roberto,22,Undirected
Cillessen,Jordi Alba,22,Undirected
Figo,Gabri,22,Undirected
Araújo,Trincão,22,Undirected
Fontàs,Guardiola,21,Undirected
Alfonso,Serra Ferrer,21,Undirected
Begiristain,Soler,21,Undirected
Amor,Reiziger,21,Undirected
Depay,Ferran,21,Undirected
Busquets,Hagi,21,Undirected
Deco,Ezquerro,21,Undirected
Amor,Soler,21,Undirected
Jordi Cruijff,Sergi,21,Undirected
Amunike,Figo,21,Undirected
Abelardo,Hagi,21,Undirected
Guðjohnsen,Hleb,21,Undirected
M. Alonso,Èric García,21,Undirected
Busquets,Deulofeu,21,Undirected
Anderson,Xavi,21,Undirected
Cuenca,Xavi,21,Undirected
Coco,Kluivert,21,Undirected
Ferrer,Kodro,21,Undirected
Geovanni,Luis Enrique,21,Undirected
Geovanni,Rexach,21,Undirected
Riqui Puig,Umtiti,21,Undirected
D. Suárez,Rafinha,21,Undirected
Busquets,Hleb,21,Undirected
J. dos Santos,Thiago,21,Undirected
Reina,Reiziger,21,Undirected
Malcom,Vidal,21,Undirected
A. Sánchez,Cuenca,21,Undirected
Amunike,Robson,21,Undirected
G. dos Santos,Messi,21,Undirected
Abelardo,Arnau,21,Undirected
Adriano,Afellay,21,Undirected
Song,Thiago,21,Undirected
Coco,Puyol,21,Undirected
G. dos Santos,Milito,21,Undirected
Rexach,Sergi,21,Undirected
Jordi Alba,Pinto,21,Undirected
Bonano,Christanval,21,Undirected
Adriano,Munir,21,Undirected
Bakero,Jordi Cruijff,21,Undirected
Sylvinho,Thuram,21,Undirected
Adriano,Ter Stegen,21,Undirected
Gabri,Hesp,21,Undirected
Dani,Hesp,21,Undirected
S. Roberto,Sandro,21,Undirected
Lenglet,Malcom,21,Undirected
Abidal,Hleb,21,Undirected
Okunowo,Van Gaal,21,Undirected
Robson,Roger,21,Undirected
Luis Enrique,Ronaldinho,21,Undirected
Alfonso,Kluivert,21,Undirected
Cruijff,De la Peña,21,Undirected
Jorquera,Oleguer,21,Undirected
Overmars,Van Bronckhorst,21,Undirected
Saviola,Van Gaal,21,Undirected
Mathieu,Sandro,21,Undirected
Motta,Zambrotta,21,Undirected
Neymar,Song,21,Undirected
Aubameyang,Depay,21,Undirected
Bogarde,Dani,21,Undirected
Luis Enrique,Mendieta,21,Undirected
Abidal,Cuenca,21,Undirected
Milito,Zambrotta,21,Undirected
Cocu,Litmanen,21,Undirected
Junior,Rakitić,21,Undirected
Coutinho,Mingueza,21,Undirected
Jordi Alba,Neto,21,Undirected
Juan Carlos,Witschge,21,Undirected
Arda,Umtiti,21,Undirected
Hesp,Okunowo,21,Undirected
Adriano,Bojan,21,Undirected
D. Suárez,Paulinho,21,Undirected
Iniesta,Sandro,21,Undirected
Mingueza,Pjanić,21,Undirected
Rafinha,Valverde,21,Undirected
M. Alonso,S. Roberto,21,Undirected
Amunike,Guardiola,21,Undirected
Goikoetxea,Soler,21,Undirected
Nico,Pedri,20,Undirected
Ferrer,Hagi,20,Undirected
Lenglet,Èric García,20,Undirected
Alfonso,Rivaldo,20,Undirected
Arda,Rafinha,20,Undirected
Quaresma,Saviola,20,Undirected
Quaresma,Van Bronckhorst,20,Undirected
Guardiola,Overmars,20,Undirected
Ezquerro,Van Bronckhorst,20,Undirected
Abelardo,Overmars,20,Undirected
Aubameyang,Pedri,20,Undirected
Arda,Bravo,20,Undirected
Mendieta,Reiziger,20,Undirected
Mendieta,Van Gaal,20,Undirected
Christanval,Rochemback,20,Undirected
Piqué,Sandro,20,Undirected
Christanval,Gabri,20,Undirected
Larsson,Messi,20,Undirected
Guardiola,Jordi Cruijff,20,Undirected
Martino,Montoya,20,Undirected
Amor,Hagi,20,Undirected
Montoya,Villa,20,Undirected
Arnau,Zenden,20,Undirected
Guardiola,Serra Ferrer,20,Undirected
Adriano,Cuenca,20,Undirected
Aleñá,Umtiti,20,Undirected
Arnau,Kluivert,20,Undirected
Arnau,Reiziger,20,Undirected
Arnau,Figo,20,Undirected
Araújo,Christensen,20,Undirected
Malcom,Ter Stegen,20,Undirected
Gabri,Giuly,20,Undirected
Serra Ferrer,Xavi,20,Undirected
Braithwaite,Junior,20,Undirected
Ezquerro,Ronaldinho,20,Undirected
Arda,Digne,20,Undirected
Dembélé,Junior,20,Undirected
Bogarde,R. de Boer,20,Undirected
R. de Boer,Xavi,20,Undirected
Keita,Sylvinho,20,Undirected
Quaresma,Ronaldinho,20,Undirected
J. Salinas,Juan Carlos,20,Undirected
Ansu Fati,Suárez,20,Undirected
Gabri,Larsson,20,Undirected
Cáceres,Daniel Alves,20,Undirected
Reina,Serra Ferrer,20,Undirected
Guardiola,Reina,20,Undirected
Mascherano,Vermaelen,20,Undirected
Reiziger,Rexach,20,Undirected
Luis García,Márquez,20,Undirected
Larsson,Motta,20,Undirected
Cáceres,Guðjohnsen,20,Undirected
Lenglet,Xavi,20,Undirected
Mingueza,Èric García,20,Undirected
Cocu,Márquez,20,Undirected
F. Navarro,Gabri,20,Undirected
Cocu,Okunowo,20,Undirected
Kluivert,Rijkaard,20,Undirected
Okunowo,Rivaldo,20,Undirected
Giovanni,Zenden,20,Undirected
Abidal,Jeffrén,20,Undirected
Jeffrén,Puyol,20,Undirected
Daniel Alves,Sylvinho,20,Undirected
N. Semedo,Riqui Puig,20,Undirected
Alexanko,Amor,20,Undirected
Abidal,Afellay,20,Undirected
Alexanko,J. Salinas,20,Undirected
Arthur,Malcom,20,Undirected
Celades,Pizzi,20,Undirected
Alcácer,N. Semedo,20,Undirected
Blanc,Stoichkov,20,Undirected
Amunike,Sergi,20,Undirected
Jordi Alba,Sandro,20,Undirected
Celades,F. Couto,20,Undirected
D. Suárez,Dembélé,20,Undirected
Depay,Lenglet,20,Undirected
Aleix Vidal,Cillessen,20,Undirected
Gerard,Rochemback,20,Undirected
Amunike,Pizzi,20,Undirected
Malcom,Piqué,20,Undirected
F. Couto,Rivaldo,20,Undirected
Pizzi,Van Gaal,20,Undirected
Jordi Alba,M. Alonso,20,Undirected
Abidal,Sylvinho,20,Undirected
Coutinho,Iniesta,20,Undirected
Coutinho,Paulinho,20,Undirected
A. Gomes,N. Semedo,20,Undirected
Araújo,M. Alonso,19,Undirected
Dembélé,Iniesta,19,Undirected
Amor,Ćirić,19,Undirected
Amor,Anderson,19,Undirected
Bojan,Thiago,19,Undirected
G. dos Santos,Márquez,19,Undirected
Giuly,Saviola,19,Undirected
De la Peña,Van Gaal,19,Undirected
Aleñá,Malcom,19,Undirected
Aleñá,Arthur,19,Undirected
Depay,Pedri,19,Undirected
Jorquera,Puyol,19,Undirected
Adama,Xavi,19,Undirected
Bonano,Gerard,19,Undirected
Iván Iglesias,Laudrup,19,Undirected
Lenglet,Neto,19,Undirected
Figo,Okunowo,19,Undirected
Laudrup,Soler,19,Undirected
Christensen,Èric García,19,Undirected
N. Semedo,Rafinha,19,Undirected
Giovanni,Okunowo,19,Undirected
Mingueza,S. Roberto,19,Undirected
Bartra,Sandro,19,Undirected
Oleguer,Reiziger,19,Undirected
Dembélé,Paulinho,19,Undirected
Belletti,Gabri,19,Undirected
Bogarde,Giovanni,19,Undirected
Bogarde,Celades,19,Undirected
Piqué,Sylvinho,19,Undirected
Junior,Umtiti,19,Undirected
Belletti,Ezquerro,19,Undirected
Nadal,Nando,19,Undirected
Cáceres,Messi,19,Undirected
Abelardo,Kodro,19,Undirected
Junior,Vidal,19,Undirected
Ansu Fati,Setién,19,Undirected
Quaresma,Reiziger,19,Undirected
Alfonso,Gerard,19,Undirected
Abde,De Jong,19,Undirected
Andersson,Kluivert,19,Undirected
Petit,Sergi,19,Undirected
Arda,Daniel Alves,19,Undirected
Coco,Cocu,19,Undirected
Luis García,Overmars,19,Undirected
F. Navarro,Kluivert,19,Undirected
Coco,F. de Boer,19,Undirected
F. Navarro,F. de Boer,19,Undirected
Okunowo,Sergi,19,Undirected
Messi,Sandro,19,Undirected
Braithwaite,S. Roberto,19,Undirected
Bogarde,Gabri,19,Undirected
Abelardo,Gerard,19,Undirected
Deulofeu,Messi,19,Undirected
Dani,Overmars,19,Undirected
Aubameyang,Dest,19,Undirected
Dembélé,Vermaelen,19,Undirected
Adama,Busquets,19,Undirected
Nadal,Ćirić,19,Undirected
F. Couto,Hesp,19,Undirected
Gerard,Mendieta,19,Undirected
Alexanko,Stoichkov,19,Undirected
Depay,S. Roberto,19,Undirected
G. dos Santos,Zambrotta,19,Undirected
Busquets,Cáceres,19,Undirected
Márquez,Thuram,19,Undirected
Hagi,Nadal,19,Undirected
Iniesta,J. dos Santos,19,Undirected
Milito,Ronaldinho,19,Undirected
Kluivert,Litmanen,19,Undirected
Dani,R. de Boer,19,Undirected
Lenglet,Setién,19,Undirected
Iniesta,Jeffrén,19,Undirected
Dani,Litmanen,19,Undirected
Figo,Litmanen,19,Undirected
Motta,Rexach,19,Undirected
Ansu Fati,Dest,19,Undirected
Alcácer,Arda,19,Undirected
Kluivert,Van Bronckhorst,19,Undirected
Coutinho,Malcom,19,Undirected
Arnau,Rivaldo,19,Undirected
Bonano,Coco,19,Undirected
Coco,Xavi,19,Undirected
Amor,Jordi Cruijff,19,Undirected
Cuenca,Keita,19,Undirected
Bonano,Mendieta,19,Undirected
F. Navarro,Saviola,19,Undirected
Bojan,Cáceres,19,Undirected
Christanval,Luis Enrique,19,Undirected
Cuenca,Piqué,19,Undirected
Deulofeu,Piqué,19,Undirected
Abelardo,Blanc,18,Undirected
Deulofeu,Valverde,18,Undirected
Robson,Òscar,18,Undirected
S. Roberto,Víctor Valdés,18,Undirected
Jeffrén,Touré,18,Undirected
Junior,Riqui Puig,18,Undirected
De la Peña,Hesp,18,Undirected
Amunike,Vítor Baía,18,Undirected
Deco,Henry,18,Undirected
Amunike,Luis Enrique,18,Undirected
Blanc,Ferrer,18,Undirected
Carles Pérez,Valverde,18,Undirected
Blanc,F. Couto,18,Undirected
Anderson,Bogarde,18,Undirected
Bravo,Sandro,18,Undirected
Mendieta,Overmars,18,Undirected
Abelardo,Jordi Cruijff,18,Undirected
Araújo,Coutinho,18,Undirected
Abelardo,Koeman,18,Undirected
Amunike,Ronaldo,18,Undirected
F. de Boer,Petit,18,Undirected
Digne,N. Semedo,18,Undirected
De la Peña,Kodro,18,Undirected
Petit,Serra Ferrer,18,Undirected
Alfonso,Xavi,18,Undirected
Busquets,Sylvinho,18,Undirected
Jorquera,Xavi,18,Undirected
Hleb,Sylvinho,18,Undirected
Litmanen,Simão,18,Undirected
Jorquera,Márquez,18,Undirected
Junior,N. Semedo,18,Undirected
Litmanen,Rivaldo,18,Undirected
Litmanen,Reiziger,18,Undirected
F. de Boer,Litmanen,18,Undirected
Sylvinho,Van Bommel,18,Undirected
Bogarde,Zenden,18,Undirected
Figo,Simão,18,Undirected
Junior,S. Roberto,18,Undirected
Malcom,Messi,18,Undirected
Luis Enrique,Van Bronckhorst,18,Undirected
Junior,Koeman,18,Undirected
Luis García,Motta,18,Undirected
Cáceres,Xavi,18,Undirected
Puyol,Quaresma,18,Undirected
Aleix Vidal,Vermaelen,18,Undirected
Cáceres,Keita,18,Undirected
Adama,Aubameyang,18,Undirected
Gerard,Luis García,18,Undirected
Puyol,Reina,18,Undirected
Adama,Ter Stegen,18,Undirected
Gabri,Sylvinho,18,Undirected
Ansu Fati,Riqui Puig,18,Undirected
Ansu Fati,Arthur,18,Undirected
Busquets,Romário,18,Undirected
Coco,Saviola,18,Undirected
Cuéllar,Sergi,18,Undirected
Cuéllar,Popescu,18,Undirected
Busquets,Ilaix,18,Undirected
Puyol,Song,18,Undirected
Henry,Thuram,18,Undirected
Aubameyang,Piqué,18,Undirected
Busquets,Iván Iglesias,18,Undirected
A. Gomes,Cillessen,18,Undirected
Cillessen,Iniesta,18,Undirected
Celades,Cocu,18,Undirected
Afellay,Maxwell,18,Undirected
Kluivert,Petit,18,Undirected
